,会社名,URL,仕事内容,対象者,勤務地,給与
35,テニック株式会社 ,http://tenshoku.mynavi.jp/jobinfo-105609-1-22-1,《最先端・大規模案件が多数！》大手玩具メーカー・エンタメ企業のECサイト／映像配信サービス／WEBサービス／アプリ／AI案件などをお任せします。,《20～30代＆第二新卒歓迎！》【未経験者】ITに関する知識・経験（学校で勉強＆独学OK）【経験者】何らかの開発 or インフラ構築・設計経験,《U・Iターン歓迎／転勤なし！》 ■本社 東京都渋谷区笹塚一丁目64-8 Daiwa笹塚ビル5階…,"■年俸制／258万円～1000万円（1/12を毎月支給）

※経験・年齢を考慮の上、当社規定により優遇・決定し…"
36,株式会社アスページ ,http://tenshoku.mynavi.jp/jobinfo-97461-1-34-1,★専任講師による2～3カ月の研修で未経験者をゼロから育成！★Web系などのシステム開発・ITインフラ・Webサイト制作など様々なプロジェクトで活躍,★学歴不問★未経験者大歓迎！★第二新卒・社会人デビューの方も大歓迎！★経験者ももちろん大歓迎！,本社（東京都千代田区）および、23区・首都圏を中心とするプロジェクト先 ◆プロジェクト先／東京都、…,"月給21万円～60万円＋各種手当

※経験・スキル等を考慮して優遇します。

【年収例】
◆312万円／24歳１…"
37,株式会社VENE BASE ,http://tenshoku.mynavi.jp/jobinfo-321823-1-2-1,【希望の働き方・スキル・案件をヒアリング！】WEB構築・システム開発・DX推進・インフラ構築など…多彩な案件から希望に合ったプロジェクトに配属！,【第二新卒歓迎！20～30代活躍中】◎ITエンジニアの実務経験をお持ちの方歓迎！(経験年数や言語・領域不問) ★土日祝休★年休120日以上★残業月20h程,◆転勤なし 【リモートワーク実施中です】 【テレワーク実施中です】 【東京本社または東京近郊のプロ…,"月給21万円～60万円 ＋ 諸手当 ＋ 賞与年2回
※経験、スキルなどを考慮します。
※試用期間3ヵ月あり。労…"
38,株式会社SALTO ,http://tenshoku.mynavi.jp/jobinfo-301840-1-3-1,【大手SIerやエンドユーザーとのプライム案件など】◆Webオープン系システムを中心に、得意分野や希望に応じたプロジェクトに配属★キャリアも多彩！,【社会人デビュー歓迎！若手活躍中】◆実務未経験OK（学校・独学等でプログラミングを学んだ経験がある方）＊新オフィスのスターティングメンバー！,【転勤なし／U・Iターン歓迎！】 〈大阪事務所〉 大阪府大阪市中央区平野町4-8-5　Re-013…,"月給30万円以上 + 賞与 + 各種手当

※ご経験者はスキルやキャリアによって、上振れいたします！
※賞与…"
39,株式会社アスパーク ,http://tenshoku.mynavi.jp/jobinfo-181230-1-9-1/msg,勉強会や交流会が充実、未経験でも安心いただけます。自社内開発(電気自動車OWL ・就活アプリ)や、大手企業(自動車・ゲームなど)の業界で活躍できます,【職種・業種未経験の方歓迎！エンジニアデビューも応援します♪】◎エンジニアとして新たなスタートを切りたい方を歓迎 ◎多彩なキャリアパスあり,【基本的に転勤はなし＆家賃補助あり】 配属は各エリアのプロジェクト先！ ※東北、関東、北信越、東海…,"実務経験者：月給21～60万円＋時間外手当
全額支給+賞与年2回（昨年度実績：3.5ヵ月分）
未経験者　：月…"
40,株式会社スタッフサービス ,http://tenshoku.mynavi.jp/jobinfo-52476-1-498-1/msg,【まずは、特別カリキュラムから受講！】ゆくゆくは、IT関連のプロジェクト先にて、ソフトウェア開発等を担当！★年休125日★残業月10h,【業界・職種未経験歓迎】◆男女不問◆高卒以上★ITエンジニアとして成長していきたい方★20～30代多数活躍中！,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(在宅案件もあり) ★面接地エリアでの…,"月給21万5,000円以上＋各種手当（残業手当全額支給等）

※首都圏勤務の場合、月給23万5,000円以上＋各種…"
41,アンリミ株式会社 ,http://tenshoku.mynavi.jp/jobinfo-194488-1-28-1,《まずは…》社内研修にてエンジニアの基礎をイチからスタート！《その後は…》テストなどの無理のない仕事から着実にSE・PGへ成長していきます！,《くどいですが》完全未経験者を歓迎します！志望動機も「なんとなく」でかまいません！私たちと一緒にキャリアを築いていきましょう！★29歳までの方,山手線沿線を中心とした東京23区内＋川崎市の各クライアント先 （品川区・港区が中心です） ★転勤は…,"月給40万円～(上流3年以上)
月給30万円～39万円(開発3年以上)
月給21万円～29万円(未経験～開発3年未満)
…"
42,株式会社スタッフサービス ,http://tenshoku.mynavi.jp/jobinfo-52476-1-496-1/msg,"【面接地エリアでの就業率92％以上】""研修付き採用枠""もあり！まずはスキルに合わせて出来ることから担当！人工知能・IoT等のプロジェクトも！",【業界・職種未経験歓迎】※完全週休2日制・土日休みでオフも充実※ITエンジニアとして成長していきたい方歓迎！★高卒以上,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(在宅案件もあり) ★面接地エリアでの…,"月給21万5,000円～55万円

※首都圏勤務の場合、月給23万5,000円～55万円。
※残業手当全額支給、各種手…"
43,株式会社リクルートR&Dスタッフィング ,http://tenshoku.mynavi.jp/jobinfo-139563-1-177-1,<充実した研修あり！>Web系などの各種システム設計・開発、iOS・Androidアプリ開発、受託開発等を担当。◎組込み系⇔Web系等へキャリアチェンジも可能,《年齢・学歴不問》＼安定と成長を両立させたい・・・！／そんな方、ぜひ！◎未経験や第二新卒歓迎！★経験者の方は優遇,【全国36都府県】 ※希望勤務地考慮 ※IUターン歓迎 (東北エリア)：青森、秋田、岩手、山形、宮…,"月給20万～44万円
※経験、能力、前給を考慮し相談の上、決定します。
※時間外手当支給"
44,株式会社スタッフサービス ,http://tenshoku.mynavi.jp/jobinfo-52476-1-497-1/msg,【“研修付き採用枠“もあり♪】IT関連のプロジェクト先で、エンジニアのサポートや資料作成など簡単な業務からお任せ★年休125日/残業月10h,【業界・職種未経験歓迎】◆男女不問◆高卒以上★スキルアップ意欲のある方は歓迎,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(在宅案件もあり) ★面接地エリアでの…,"月給21万5,000円以上＋各種手当（残業手当全額支給等）

※首都圏勤務の場合、月給23万5,000円以上＋各種…"
45,サンブリッジソリューションズ株式会社 ,http://tenshoku.mynavi.jp/jobinfo-327021-1-3-1,【入社前・入社後をフルカバーした教育体制！】クライアントが持つビッグデータの分析、課題解決の為の有益な情報・レポートの企画・提案を行います。,【引越し手当有】【第二新卒/実務未経験/女性SE活躍中】理系知識をお持ちの方（数学、統計学、情報学など何でもOK）/データエンジニアに興味のある方,【転勤なし】東京都内の各プロジェクト先にてご活躍いただきます。 ★引越し手当あり！（最大9万円）…,"月給28万円～80万円
★経験や能力を考慮のうえ、当社規定により決定します。
★別途、決算賞与や各種手当…"
46,キャリン株式会社 ,http://tenshoku.mynavi.jp/jobinfo-317974-1-1-1,★案件は自由に選択　★無駄な自社MTGや作業なし　★Web・モバイル・オープン系のシステム開発において、あなたの希望する案件で活躍してください！,経験やスキルも大事ですが、「人柄」を重視します！ ★人間関係を重んじて利他的な判断ができる方、自主的に判断して働きたい方、大歓迎です。,★希望する立地のプロジェクトにアサイン！ ★転勤なし & U・Iターン歓迎！ 本社 または 東京/…,"月給34万円～50万円 ＋ 各種手当 ＋ 業績賞与

※給与は、経験やスキルに応じて決まる報酬テーブル（全社…"
47,株式会社システナ ,http://tenshoku.mynavi.jp/jobinfo-249384-1-32-1,【少人数での基礎研修からスタート】アプリ開発/クラウド関連/システム運用/テクニカルサポートの中から、あなたに最適な案件でエンジニアデビュー！,＼ITの経験・知識は一切不問！異業種の経験が活かせます！／ ◆未経験・第二新卒歓迎　◆34歳以下　◆「社会に貢献できるエンジニア」を目指したい方,【転勤なし】 東京本社、竹芝デザインスタジオもしくは東京・神奈川のお客様先 ※勤務地はお住まいと希…,"月給：22万円＋賞与年2回＋残業代全額支給

※あなたのご経験などを考慮し、ご決定します。
※試用期間3…"
48,株式会社SMSデータテック ,http://tenshoku.mynavi.jp/jobinfo-115729-1-13-1,システム開発本部またはソリューションサービス本部に配属後、システム開発・クラウド基盤構築・システム維持運用・保守のいずれかを担当します,【高額研修費用補助あり/ローキャリアOK】IT業界での実務経験または業務に関連する資格・知識をお持ちの方◆5日以上連続休暇取得可能◆月残業20h以内,【U・Iターン歓迎/転勤なし/テレワーク可/住宅手当あり（2.5万円）】 ■東京本社及び首都圏内の…,"月給：23万円～55万円

※経験・年齢・能力を考慮のうえ、決定致します。
※試用期間3ヶ月(期間中の待遇…"
